ID,BUILDING,ADDRESS 1,TOWN,ZIP,TEL,STORE,PHOTO,PHARMACY,ADVOCATE CLINIC,OPTICIAL,HEARING,Lab Services
1,Community Pharmacy,4339 DI PAOLO CTR,GLENVIEW,IL 60025,847-299-1920,,,1,,,,
2,,16 E LAKE ST,ADDISON,IL 60101,630-832-7821,1,1,1,,,,
3,,1000 E NORTHWEST HWY,ARLINGTON HEIGHTS,IL 60004,847-259-4646,1,1,1,,,,
4,,235 E PALATINE RD,ARLINGTON HEIGHTS,IL 60004,847-394-2420,1,1,1,,,,
5,,1711 W CAMPBELL ST,ARLINGTON HEIGHTS,IL 60005,847-577-7099,1,1,1,,,,
6,,3 E GOLF RD,ARLINGTON HEIGHTS,IL 60005,847-593-6650,1,1,1,1,,,
7,,2501 WAUKEGAN RD,BANNOCKBURN,IL 60015,847-940-8104,1,1,1,,,,
8,,899 S IL ROUTE 59,BARTLETT,IL 60103,630-213-5995,1,1,1,,,,
9,,5 W IRVING PARK RD,BENSENVILLE,IL 60106,630-350-1178,1,1,1,,,,
10,Walgreens Pharmacy at MacNeal Hospital,3249 S OAK PARK AVE,BERWYN,IL 60402,708-484-6693,,,1,,,,
11,,7113 CERMAK RD,BERWYN,IL 60402,708-795-9030,1,1,1,,,,
12,,180 E LAKE ST,BLOOMINGDALE,IL 60108,630-894-3276,1,1,1,,,,
13,,270 W LAKE ST,BLOOMINGDALE,IL 60108,630-295-8876,1,1,1,,,,
14,,1600 W ROOSEVELT RD,BROADVIEW,IL 60155,708-343-5323,1,1,1,,,,
15,,8000 BROADVIEW VILLAGE SQ,BROADVIEW,IL 60155,708-410-2957,1,1,1,,,,
16,,1225 W DUNDEE RD,BUFFALO GROVE,IL 60089,847-368-1998,1,1,1,,,,
17,,15 N BUFFALO GROVE RD,BUFFALO GROVE,IL 60089,847-520-7220,1,1,1,1,,,
18,,1701 N BUFFALO GROVE RD,BUFFALO GROVE,IL 60089,847-955-9361,1,1,1,,,,
19,,540 N SCHMALE RD,CAROL STREAM,IL 60188,630-933-9558,1,1,1,,,,
20,,100 W RANDOLPH ST,CHICAGO,IL 60601,312-525-3984,1,1,1,,,,
21,,151 N STATE ST,CHICAGO,IL 60601,312-863-4249,1,1,1,1,,,
22,,2 N STATE ST #1,CHICAGO,IL 60602,312-332-0216,1,1,1,,,,
23,,30 N MICHIGAN AVE,CHICAGO,IL 60602,312-332-3540,1,1,1,,,,
24,,122 S. MICHIGAN AVE,CHICAGO,IL 60603,312-973-3708,1,1,1,,,,
25,,79 W MONROE ST,CHICAGO,IL 60603,312-346-5727,1,1,1,1,,,
26,,2 E ROOSEVELT RD,CHICAGO,IL 60605,312-212-1583,1,1,1,,,,
27,,200 W ADAMS ST,CHICAGO,IL 60606,312-372-0331,1,1,1,,,,
28,,201 W MADISON ST,CHICAGO,IL 60606,312-214-4385,1,1,1,,,,
29,,250 S WACKER DR,CHICAGO,IL 60606,312-876-1363,1,1,1,,,,
30,,1051 W RANDOLPH,CHICAGO,IL 60607,312-279-5500,1,1,1,,,,
31,,501 W ROOSEVELT RD,CHICAGO,IL 60607,312-492-8559,1,1,1,,,,
32,,1931 W CERMAK RD,CHICAGO,IL 60608,773-847-5781,1,1,1,,,,
33,,3000 S HALSTED ST,CHICAGO,IL 60608,312-225-0537,1,1,1,,,,
34,,1614 W 47TH ST,CHICAGO,IL 60609,773-247-3051,1,1,1,,,,
35,,1926 W 35TH ST,CHICAGO,IL 60609,773-254-5523,1,1,1,,,,
36,,4700 S HALSTED ST,CHICAGO,IL 60609,773-927-8777,1,1,1,,,,
37,,4710 S WESTERN AVE,CHICAGO,IL 60609,773-579-0366,1,1,1,,,,
38,Access Community Health,5401 S. WENTWORTH,CHICAGO,IL 60609,773-268-5664,,,1,,,,
39,,1200 N DEARBORN ST,CHICAGO,IL 60610,312-943-0973,1,1,1,,,,
40,Walgreens at Seton Family Health Center,711 W NORTH AVE,CHICAGO,IL 60610,312-944-0867,,,1,,,,
41,,933 N STATE ST,CHICAGO,IL 60610,312-943-0671,1,1,1,,,,
42,Walgreens Pharmacy at Northwestern Memorial Hospital-Galter,201 E HURON ST,CHICAGO,IL 60611,312-951-1084,,,1,,,,
43,Walgreens Pharmacy at Northwestern Outpatient Care Pavilion,259 E ERIE ST,CHICAGO,IL 60611,312-649-6707,,,1,,,,
44,,342 E ILLINOIS ST,CHICAGO,IL 60611,312-467-0485,1,1,1,,,,
45,,410 N MICHIGAN AVE,CHICAGO,IL 60611,312-321-0951,1,1,1,1,1,,
46,,680 N LAKE SHORE DR,CHICAGO,IL 60611,312-943-2224,1,1,1,,,,
47,,757 N MICHIGAN AVE,CHICAGO,IL 60611,312-664-8686,1,1,1,,,,
48,,2340 W MADISON ST,CHICAGO,IL 60612,312-226-7913,1,1,1,,,,
49,,3646 N BROADWAY ST,CHICAGO,IL 60613,773-549-3808,1,1,1,,1,,
50,Walgreens Pharmacy at Howard Brown Health Center,4025 N SHERIDAN RD,CHICAGO,IL 60613,773-528-8314,,,1,,,,
51,,953 W IRVING PARK RD,CHICAGO,IL 60613,773-935-6414,1,1,1,,,,
52,,1520 W FULLERTON AVE,CHICAGO,IL 60614,773-929-6968,1,1,1,,,,
