Postcode area,Area covered,Population,Households,Postcodes,Active postcodes,Non-geographic postcodes
AB,Aberdeen,"499,692","218,798","38,772","17,085",2
AL,St Albans,"249,911","99,209","11,320","7,764",0
B,Birmingham,"1,904,293","750,842","61,136","41,378",0
BA,Bath,"434,539","183,530","19,904","15,127",0
BB,Blackburn,"488,564","202,015","18,796","13,180",0
BD,Bradford,"578,374","223,952","23,338","16,974",12
BF,British Forces,0,0,48,48,0
BH,Bournemouth,"552,110","242,907","22,161","15,188",0
BL,Bolton,"379,929","159,979","13,901","10,299",0
BN,Brighton,"802,838","356,367","34,846","21,939",1
BR,Bromley,"299,157","124,954","10,549","6,806",0
BS,Bristol,"940,076","398,197","45,270","26,717",0
BT,Northern Ireland,"1,787,720","693,967","61,730","49,202",815
CA,Carlisle,"318,114","140,587","16,198","12,640",0
CB,Cambridge,"421,151","167,640","19,080","10,529",0
CF,Cardiff,"1,005,305","419,896","42,281","23,137",0
CH,Chester,"659,880","285,880","24,169","18,767",0
CM,Chelmsford,"653,626","270,044","27,187","17,836",0
CO,Colchester,"411,411","176,939","17,955","13,225",0
CR,Croydon,"405,236","158,695","14,605","7,895",0
CT,Canterbury,"482,627","206,290","19,686","14,828",0
CV,Coventry,"821,033","341,504","28,053","20,268",0
CW,Crewe,"309,487","130,803","13,954","9,521",0
DA,Dartford,"430,139","173,329","12,808","9,018",0
DD,Dundee,"280,568","128,312","11,289","8,955",0
DE,Derby,"730,125","306,586","29,970","17,209",0
DG,Dumfries and Galloway,"151,139","67,885","7,723","6,838",2
DH,Durham,"309,030","132,814","11,441","8,972",0
DL,Darlington,"360,734","156,814","16,667","13,285",0
DN,Doncaster,"756,058","320,303","27,748","21,703",0
DT,Dorchester,"212,796","93,053","9,780","7,817",0
DY,Dudley,"410,847","171,692","14,411","10,952",0
E,East London,"989,043","370,613","28,224","16,226",0
EC,Central London,"33,956","17,102","12,542","3,706",0
EH,Edinburgh,"868,113","389,353","32,301","24,379",6
EN,Enfield,"344,780","137,907","13,005","8,500",61
EX,Exeter,"547,401","235,895","28,531","22,202",0
FK,Falkirk and Stirling,"276,371","119,790","9,590","7,717",0
FY,Blackpool,"276,593","125,986","10,031","7,287",0
G,Glasgow,"1,183,614","540,601","46,687","31,781",0
GL,Gloucester,"605,458","257,602","28,571","21,039",0
GU,Guildford,"726,120","288,537","35,524","22,107",0
HA,Harrow,"480,678","169,132","17,416","10,134",0
HD,Huddersfield,"262,843","111,694","10,694","7,096",0
HG,Harrogate,"138,214","59,455","6,306","4,402",0
HP,Hemel Hempstead,"488,592","195,951","21,679","13,943",0
HR,Hereford,"176,308","75,400","7,893","6,381",0
HS,Outer Hebrides,"27,663","12,565","1,093",963,0
HU,Hull,"443,219","191,836","15,239","10,959",0
HX,Halifax,"160,137","68,980","7,390","5,643",0
IG,Ilford,"335,693","119,754","9,990","5,969",0
IP,Ipswich,"595,883","252,895","26,841","21,038",0
IV,Inverness,"228,056","98,990","10,726","7,354",2
KA,Kilmarnock,"370,877","166,467","14,117","11,598",0
KT,Kingston upon Thames,"529,633","214,274","22,289","14,170",0
KW,Kirkwall,"53,132","24,290","2,102","1,835",0
KY,Kirkcaldy,"363,956","160,089","13,113","10,093",1
